1,89792,19.67
1,45902,14.44
1,16638,1.98
1,37750,3.49
1,48763,3.30
1,61997,11.62
1,86196,0.68
1,49283,5.68
1,33254,1.71
1,74632,1.37
1,46241,13.29
1,68168,8.32
1,53461,0.68
1,61729,4.42
1,35429,19.29
1,42498,2.59
1,35187,8.24
1,10038,8.90
1,66510,2.59
1,61380,3.85
1,42429,17.49
1,47972,22.48
1,69476,2.52
1,43496,7.35
1,10981,0.68
1,60061,5.14
1,15356,3.84
1,11144,1.14
1,79844,1.65
1,36107,7.87
1,95003,4.07
1,84298,4.66
1,48445,13.30
1,68406,5.04
1,87820,3.56
1,29947,5.62
1,24201,2.59
1,22342,8.86
1,36308,10.36
1,70316,2.50
1,17668,0.22
1,59929,3.47
1,73195,0.62
1,23394,0.68
1,82582,0.68
1,86936,2.59
1,61706,6.92
1,50266,2.47
1,10760,0.90
1,78158,2.43
1,76007,0.57
1,86453,1.47
1,52576,0.68
1,38834,2.85
1,80289,0.97
1,31929,2.49
1,49718,7.40
1,79839,11.49
1,21327,1.66
1,94652,7.99
1,29677,0.42
1,94431,9.07
1,53117,1.45
1,39227,2.12
1,52826,3.31
1,95856,2.00
1,13986,1.47
1,68760,9.15
1,29890,15.57
1,18285,0.68
1,64489,3.78
1,40215,4.85
1,49779,0.27
1,50495,2.11
1,13994,2.71
1,66095,2.19
1,63677,2.19
1,66182,14.77
1,19164,18.19
1,55534,2.73
1,34652,12.49
1,73952,9.94
1,81939,1.72
1,74516,6.95
1,18727,9.99
1,56959,3.41
1,93054,2.35
1,19074,13.28
1,97937,6.47
1,68862,0.62
1,26661,2.59
1,30952,5.53
1,55264,5.84
1,69421,2.96
1,54053,11.34
1,48151,4.80
1,54892,2.25
1,35132,4.82
1,53433,13.09
1,72514,2.47
1,98835,7.67
1,44719,24.81
1,22934,1.28
1,74434,1.28
1,34260,1.05
1,31734,13.37
1,89992,7.99
1,61451,3.31
1,17573,7.49
1,96814,5.72
1,25142,7.57
1,70088,1.73
1,14041,6.78
1,42891,2.25
1,82742,8.74
1,13165,2.00
1,64553,2.00
1,84864,2.85
1,96081,0.80
1,74562,1.76
1,47582,1.73
1,46831,15.97
1,81955,3.07
1,87203,18.74
1,29205,13.57
1,31078,5.01
1,92908,6.75
1,96506,19.12
1,78472,5.62
1,15207,3.87
1,24134,42.17
1,34397,9.65
1,17937,8.92
1,61122,7.42
1,94736,8.32
1,28427,2.47
1,59428,7.15
1,91938,5.50
1,98505,7.90
1,66914,0.18
1,49211,11.55
1,17524,11.20
1,77338,5.18
1,24855,1.76
1,92695,8.42
1,54839,33.32
1,44916,5.75
1,33154,8.58
1,11961,20.08
1,12714,0.70
1,26398,2.59
1,15007,2.00
1,90018,0.87
1,44708,2.00
1,95764,14.26
1,57658,25.87
1,48204,0.24
1,27316,3.51
1,25066,2.00
1,72519,12.84
